证券代码,证券简称,上市日期,"华证ESG评级
[交易日期] 2009-12-31","华证ESG评级
[交易日期] 2010-12-31","华证ESG评级
[交易日期] 2011-12-31","华证ESG评级
[交易日期] 2012-12-31","华证ESG评级
[交易日期] 2013-12-31","华证ESG评级
[交易日期] 2014-12-31","华证ESG评级
[交易日期] 2015-12-31","华证ESG评级
[交易日期] 2016-12-31","华证ESG评级
[交易日期] 2017-12-31","华证ESG评级
[交易日期] 2018-12-31","华证ESG评级
[交易日期] 2019-12-31","华证ESG评级
[交易日期] 2020-12-31",2009_量化值,2010_量化值,2011_量化值,2012_量化值,2013_量化值,2014_量化值,2015_量化值,2016_量化值,2017_量化值,2018_量化值,2019_量化值,2020_量化值
000099.SZ,中信海直,2000-07-31,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
000100.SZ,TCL科技,2004-01-30,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,5,5,5,5,5,5,5,5,5,5,5,5
000150.SZ,宜华健康,2000-08-07,BBB,BB,BB,BBB,BBB,BB,BBB,BBB,BBB,BBB,CCC,B,3,2,2,3,3,2,3,3,3,3,0,1
000151.SZ,中成股份,2000-09-06,A,A,A,A,A,A,A,A,A,A,A,A,4,4,4,4,4,4,4,4,4,4,4,4
000153.SZ,丰原药业,2000-09-20,BBB,BBB,BBB,BBB,A,A,A,A,A,A,BBB,BBB,3,3,3,3,4,4,4,4,4,4,3,3
000155.SZ,川能动力,2000-09-26,A,A,A,A,A,A,BBB,BBB,BBB,A,A,A,4,4,4,4,4,4,3,3,3,4,4,4
000156.SZ,华数传媒,2000-09-06,BBB,BBB,BBB,BBB,A,AA,AA,AA,AAA,AAA,AA,AAA,3,3,3,3,4,5,5,5,6,6,5,6
000157.SZ,中联重科,2000-10-12,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,5,5,5,5,5,5,5,5,5,5,5,5
000158.SZ,常山北明,2000-07-24,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,3,3,3,3,3,3,3,3,3,3,2,3
000159.SZ,国际实业,2000-09-26,A,A,A,A,A,A,A,A,A,A,A,A,4,4,4,4,4,4,4,4,4,4,4,4
000166.SZ,申万宏源,2015-01-26,未上市,未上市,未上市,未上市,未上市,未上市,AA,AA,AA,AAA,AA,AA,0,0,0,0,0,0,5,5,5,6,5,5
000301.SZ,东方盛虹,2000-05-29,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,A,AA,5,5,5,5,5,5,5,5,5,5,4,5
