证券代码,证券简称,上市日期,"华证ESG评级
[交易日期] 2009-12-31","华证ESG评级
[交易日期] 2010-12-31","华证ESG评级
[交易日期] 2011-12-31","华证ESG评级
[交易日期] 2012-12-31","华证ESG评级
[交易日期] 2013-12-31","华证ESG评级
[交易日期] 2014-12-31","华证ESG评级
[交易日期] 2015-12-31","华证ESG评级
[交易日期] 2016-12-31","华证ESG评级
[交易日期] 2017-12-31","华证ESG评级
[交易日期] 2018-12-31","华证ESG评级
[交易日期] 2019-12-31","华证ESG评级
[交易日期] 2020-12-31",2009_量化值,2010_量化值,2011_量化值,2012_量化值,2013_量化值,2014_量化值,2015_量化值,2016_量化值,2017_量化值,2018_量化值,2019_量化值,2020_量化值
300732.SZ,设研院,2017-12-12,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,A,BBB,0,0,0,0,0,0,0,0,0,4,4,3
300733.SZ,西菱动力,2018-01-16,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,BBB,0,0,0,0,0,0,0,0,0,3,3,3
300735.SZ,光弘科技,2017-12-29,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,A,0,0,0,0,0,0,0,0,0,3,3,4
300736.SZ,百邦科技,2018-01-09,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,BBB,A,0,0,0,0,0,0,0,0,0,4,3,4
300737.SZ,科顺股份,2018-01-25,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,AA,AA,0,0,0,0,0,0,0,0,0,3,5,5
300738.SZ,奥飞数据,2018-01-19,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,A,0,0,0,0,0,0,0,0,0,3,4,4
300739.SZ,明阳电路,2018-02-01,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,B,BB,0,0,0,0,0,0,0,0,0,3,1,2
300740.SZ,水羊股份,2018-02-08,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,BBB,0,0,0,0,0,0,0,0,0,3,3,3
300741.SZ,华宝股份,2018-03-01,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,A,A,0,0,0,0,0,0,0,0,0,4,4,4
300742.SZ,越博动力,2018-05-08,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BB,CCC,0,0,0,0,0,0,0,0,0,3,2,0
300743.SZ,天地数码,2018-04-27,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BB,BBB,0,0,0,0,0,0,0,0,0,3,2,3
300745.SZ,欣锐科技,2018-05-23,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BB,BB,BBB,0,0,0,0,0,0,0,0,0,2,2,3
300746.SZ,汉嘉设计,2018-05-25,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,A,0,0,0,0,0,0,0,0,0,3,3,4
300747.SZ,锐科激光,2018-06-25,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,BBB,0,0,0,0,0,0,0,0,0,3,3,3
300748.SZ,金力永磁,2018-09-21,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,AA,0,0,0,0,0,0,0,0,0,3,4,5
300749.SZ,顶固集创,2018-09-25,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,A,0,0,0,0,0,0,0,0,0,3,4,4
300750.SZ,宁德时代,2018-06-11,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,AA,AA,0,0,0,0,0,0,0,0,0,3,5,5
300751.SZ,迈为股份,2018-11-09,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,0,0,0,0,0,0,0,0,0,0,3,4
300752.SZ,隆利科技,2018-11-30,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,0,0,0,0,0,0,0,0,0,0,3,4
300753.SZ,爱朋医疗,2018-12-13,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,0,0,0,0,0,0,0,0,0,0,3,3
300755.SZ,华致酒行,2019-01-29,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,A,0,0,0,0,0,0,0,0,0,0,4,4
300756.SZ,金马游乐,2018-12-28,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,0,0,0,0,0,0,0,0,0,0,3,4
300757.SZ,罗博特科,2019-01-08,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,0,0,0,0,0,0,0,0,0,0,3,3
300758.SZ,七彩化学,2019-02-22,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,B,BB,0,0,0,0,0,0,0,0,0,0,1,2
300759.SZ,康龙化成,2019-01-28,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,A,0,0,0,0,0,0,0,0,0,0,4,4
300760.SZ,迈瑞医疗,2018-10-16,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,AA,AA,0,0,0,0,0,0,0,0,0,3,5,5
300761.SZ,立华股份,2019-02-18,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BB,0,0,0,0,0,0,0,0,0,0,3,2
300762.SZ,上海瀚讯,2019-03-14,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,0,0,0,0,0,0,0,0,0,0,3,4
300763.SZ,锦浪科技,2019-03-19,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,0,0,0,0,0,0,0,0,0,0,3,3
300765.SZ,新诺威,2019-03-22,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,0,0,0,0,0,0,0,0,0,0,3,3
300766.SZ,每日互动,2019-03-25,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,A,0,0,0,0,0,0,0,0,0,0,4,4
300767.SZ,震安科技,2019-03-29,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,0,0,0,0,0,0,0,0,0,0,3,4
300768.SZ,迪普科技,2019-04-12,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,A,0,0,0,0,0,0,0,0,0,0,4,4
300769.SZ,德方纳米,2019-04-15,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BB,0,0,0,0,0,0,0,0,0,0,3,2
300770.SZ,新媒股份,2019-04-19,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,A,0,0,0,0,0,0,0,0,0,0,4,4
300771.SZ,智莱科技,2019-04-22,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,0,0,0,0,0,0,0,0,0,0,3,3
300772.SZ,运达股份,2019-04-26,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,0,0,0,0,0,0,0,0,0,0,3,4
300773.SZ,拉卡拉,2019-04-25,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,A,0,0,0,0,0,0,0,0,0,0,4,4
300775.SZ,三角防务,2019-05-21,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,0,0,0,0,0,0,0,0,0,0,3,3
300776.SZ,帝尔激光,2019-05-17,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,0,0,0,0,0,0,0,0,0,0,3,4
300777.SZ,中简科技,2019-05-16,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,0,0,0,0,0,0,0,0,0,0,3,4
300778.SZ,新城市,2019-05-10,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,0,0,0,0,0,0,0,0,0,0,3,4
300779.SZ,惠城环保,2019-05-22,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,0,0,0,0,0,0,0,0,0,0,3,4
300780.SZ,德恩精工,2019-05-31,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,0,0,0,0,0,0,0,0,0,0,3,3
300781.SZ,因赛集团,2019-06-06,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,0,0,0,0,0,0,0,0,0,0,3,3
300782.SZ,卓胜微,2019-06-18,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,0,0,0,0,0,0,0,0,0,0,3,4
300783.SZ,三只松鼠,2019-07-12,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,A,0,0,0,0,0,0,0,0,0,0,4,4
300785.SZ,值得买,2019-07-15,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,A,0,0,0,0,0,0,0,0,0,0,4,4
300786.SZ,国林科技,2019-07-23,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,A,0,0,0,0,0,0,0,0,0,0,4,4
300787.SZ,海能实业,2019-08-15,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,A,0,0,0,0,0,0,0,0,0,0,3,4
300788.SZ,中信出版,2019-07-05,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,AA,AA,0,0,0,0,0,0,0,0,0,0,5,5
300789.SZ,唐源电气,2019-08-28,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,A,0,0,0,0,0,0,0,0,0,0,4,4
300790.SZ,宇瞳光学,2019-09-20,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,0,0,0,0,0,0,0,0,0,0,3,3
300791.SZ,仙乐健康,2019-09-25,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,0,0,0,0,0,0,0,0,0,0,3,3
300792.SZ,壹网壹创,2019-09-27,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,A,0,0,0,0,0,0,0,0,0,0,4,4
300793.SZ,佳禾智能,2019-10-18,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,0,0,0,0,0,0,0,0,0,0,3,3
300795.SZ,*ST米奥,2019-10-22,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,BBB,0,0,0,0,0,0,0,0,0,0,3,3
300796.SZ,贝斯美,2019-11-15,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300797.SZ,钢研纳克,2019-11-01,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300798.SZ,锦鸡股份,2019-11-22,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BB,0,0,0,0,0,0,0,0,0,0,0,2
300799.SZ,左江科技,2019-10-29,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,BBB,0,0,0,0,0,0,0,0,0,0,4,3
300800.SZ,力合科技,2019-11-06,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300801.SZ,泰和科技,2019-11-28,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BB,0,0,0,0,0,0,0,0,0,0,0,2
300802.SZ,矩子科技,2019-11-14,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300803.SZ,指南针,2019-11-18,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300805.SZ,电声股份,2019-11-21,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300806.SZ,斯迪克,2019-11-25,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BB,0,0,0,0,0,0,0,0,0,0,0,2
300807.SZ,天迈科技,2019-12-19,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300808.SZ,久量股份,2019-11-29,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300809.SZ,华辰装备,2019-12-04,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300810.SZ,中科海讯,2019-12-06,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300811.SZ,铂科新材,2019-12-30,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300812.SZ,易天股份,2020-01-09,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300813.SZ,泰林生物,2020-01-14,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300815.SZ,玉禾田,2020-01-23,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300816.SZ,艾可蓝,2020-02-10,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300817.SZ,双飞股份,2020-02-18,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300818.SZ,耐普矿机,2020-02-12,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300819.SZ,聚杰微纤,2020-03-12,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300820.SZ,英杰电气,2020-02-13,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300821.SZ,东岳硅材,2020-03-12,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BB,0,0,0,0,0,0,0,0,0,0,0,2
300822.SZ,贝仕达克,2020-03-13,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300823.SZ,建科机械,2020-03-19,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300824.SZ,北鼎股份,2020-06-19,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300825.SZ,阿尔特,2020-03-27,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300826.SZ,测绘股份,2020-04-03,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300827.SZ,上能电气,2020-04-10,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300828.SZ,锐新科技,2020-04-21,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300829.SZ,金丹科技,2020-04-22,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300830.SZ,金现代,2020-05-06,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300831.SZ,派瑞股份,2020-05-07,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BB,0,0,0,0,0,0,0,0,0,0,0,2
300832.SZ,新产业,2020-05-12,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300833.SZ,浩洋股份,2020-05-20,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300835.SZ,龙磁科技,2020-05-25,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300836.SZ,佰奥智能,2020-05-28,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BB,0,0,0,0,0,0,0,0,0,0,0,2
300837.SZ,浙矿股份,2020-06-05,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300838.SZ,浙江力诺,2020-06-08,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300839.SZ,博汇股份,2020-06-30,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300840.SZ,酷特智能,2020-07-08,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300841.SZ,康华生物,2020-06-16,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300842.SZ,帝科股份,2020-06-18,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300843.SZ,胜蓝股份,2020-07-02,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300845.SZ,捷安高科,2020-07-03,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300846.SZ,首都在线,2020-07-01,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300847.SZ,中船汉光,2020-07-09,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300848.SZ,美瑞新材,2020-07-20,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300849.SZ,锦盛新材,2020-07-10,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300850.SZ,新强联,2020-07-13,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300851.SZ,交大思诺,2020-07-17,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300852.SZ,四会富仕,2020-07-13,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300853.SZ,申昊科技,2020-07-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300855.SZ,图南股份,2020-07-23,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300856.SZ,科思股份,2020-07-22,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300857.SZ,协创数据,2020-07-27,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300858.SZ,科拓生物,2020-07-27,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300859.SZ,*ST西域,2020-08-06,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300860.SZ,锋尚文化,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300861.SZ,美畅股份,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300862.SZ,蓝盾光电,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300863.SZ,卡倍亿,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300864.SZ,南大环境,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300865.SZ,大宏立,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300866.SZ,安克创新,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300867.SZ,圣元环保,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300868.SZ,杰美特,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300869.SZ,康泰医学,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300870.SZ,欧陆通,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300871.SZ,回盛生物,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300872.SZ,天阳科技,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300873.SZ,海晨股份,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300875.SZ,捷强装备,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300876.SZ,蒙泰高新,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300877.SZ,金春股份,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300878.SZ,维康药业,2020-08-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300879.SZ,大叶股份,2020-09-01,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300880.SZ,迦南智能,2020-09-01,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300881.SZ,盛德鑫泰,2020-09-01,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300882.SZ,万胜智能,2020-09-10,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300883.SZ,龙利得,2020-09-10,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300884.SZ,狄耐克,2020-11-12,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,0,0,0,0,0,0,0,0,0,0,0,0
300885.SZ,海昌新材,2020-09-10,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300886.SZ,华业香料,2020-09-16,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300887.SZ,谱尼测试,2020-09-16,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300888.SZ,稳健医疗,2020-09-17,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,A,0,0,0,0,0,0,0,0,0,0,0,4
300889.SZ,爱克股份,2020-09-16,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300890.SZ,翔丰华,2020-09-17,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300891.SZ,惠云钛业,2020-09-17,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300892.SZ,品渥食品,2020-09-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300893.SZ,松原股份,2020-09-24,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,BBB,0,0,0,0,0,0,0,0,0,0,0,3
300894.SZ,火星人,2020-12-31,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,未上市,0,0,0,0,0,0,0,0,0,0,0,0
